号ID,政紫亀,刊旋 政紫亀,鋭去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋 政紫亀 搾晴,,走艦域呪
号245,1.1058,106.8927,146.3010083,0.603450743,0.825925926,,
号266,1.1058,107.9985,146.9570667,0.609693413,0.82962963,,
号269,1.1058,109.1043,147.613125,0.615936083,0.833333333,,
号23,1.25,110.3543,148.2691833,0.622992818,0.837037037,,
号5,1.25,111.6043,148.9252417,0.630049552,0.840740741,,
号17,1.25,112.8543,149.5813,0.637106287,0.844444444,,
号2,1.25,114.1043,150.2373583,0.644163022,0.848148148,,
号26,1.25,115.3543,150.8934167,0.651219757,0.851851852,,
号14,1.25,116.6043,151.549475,0.658276491,0.855555556,,
号20,1.25,117.8543,152.2055333,0.665333226,0.859259259,,
号8,1.25,119.1043,152.8615917,0.672389961,0.862962963,,
号11,1.25,120.3543,153.51765,0.679446696,0.866666667,,
号193,1.25105,121.60535,154.1737083,0.686509358,0.87037037,,
号208,1.25105,122.8564,154.8297667,0.69357202,0.874074074,,
号202,1.25105,124.10745,155.485825,0.700634683,0.877777778,,
号205,1.25105,125.3585,156.1418833,0.707697345,0.881481481,,
号199,1.25105,126.60955,156.7979417,0.714760008,0.885185185,,
号211,1.25105,127.8606,157.454,0.72182267,0.888888889,,
号196,1.25105,129.11165,158.1100583,0.728885332,0.892592593,,
号214,1.25105,130.3627,158.7661167,0.735947995,0.896296296,,
号190,1.25105,131.61375,159.422175,0.743010657,0.9,,
号64,1.4906,133.10435,160.0782333,0.751425672,0.903703704,,
号61,1.4906,134.59495,160.7342917,0.759840687,0.907407407,,
号73,1.4906,136.08555,161.39035,0.768255702,0.911111111,,
号70,1.4906,137.57615,162.0464083,0.776670717,0.914814815,,
号76,1.4906,139.06675,162.7024667,0.785085732,0.918518519,,
号67,1.4906,140.55735,163.358525,0.793500747,0.922222222,,
号55,1.4906,142.04795,164.0145833,0.801915762,0.925925926,,
号79,1.4906,143.53855,164.6706417,0.810330777,0.92962963,,
号58,1.4906,145.02915,165.3267,0.818745792,0.933333333,,
号262,1.5674,146.59655,165.9827583,0.827594373,0.937037037,,
号250,1.5674,148.16395,166.6388167,0.836442954,0.940740741,,
号268,1.5674,149.73135,167.294875,0.845291535,0.944444444,,
号265,1.5674,151.29875,167.9509333,0.854140116,0.948148148,,
号244,1.5674,152.86615,168.6069917,0.862988697,0.951851852,,
号247,1.5674,154.43355,169.26305,0.871837277,0.955555556,,
号253,1.5674,156.00095,169.9191083,0.880685858,0.959259259,,
号259,1.5674,157.56835,170.5751667,0.889534439,0.962962963,,
号256,1.5674,159.13575,171.231225,0.89838302,0.966666667,,
号1,2,161.13575,171.8872833,0.909673795,0.97037037,,
号4,2,163.13575,172.5433417,0.920964571,0.974074074,,
号16,2,165.13575,173.1994,0.932255347,0.977777778,,
号25,2,167.13575,173.8554583,0.943546122,0.981481481,,
号13,2,169.13575,174.5115167,0.954836898,0.985185185,,
号10,2,171.13575,175.167575,0.966127673,0.988888889,,
号7,2,173.13575,175.8236333,0.977418449,0.992592593,,
号19,2,175.13575,176.4796917,0.988709224,0.996296296,,
号22,2,177.13575,177.13575,1,1,,
